country,year,predicted_value,metric
Austria,2038,5191537.486923099,forest_loss
Austria,2039,5331634.980000019,forest_loss
Austria,2040,5471732.47307694,forest_loss
Austria,2041,5611829.96615386,forest_loss
Austria,2042,5751927.459230781,forest_loss
Austria,2043,5892024.952307701,forest_loss
Austria,2044,6032122.445384622,forest_loss
Austria,2045,6172219.938461542,forest_loss
Azerbaijan,2026,74017.6400000006,forest_loss
Azerbaijan,2027,76158.42153846193,forest_loss
Azerbaijan,2028,78299.2030769242,forest_loss
Azerbaijan,2029,80439.98461538553,forest_loss
Azerbaijan,2030,82580.76615384687,forest_loss
Azerbaijan,2031,84721.5476923082,forest_loss
Azerbaijan,2032,86862.32923077047,forest_loss
Azerbaijan,2033,89003.1107692318,forest_loss
Azerbaijan,2034,91143.89230769314,forest_loss
Azerbaijan,2035,93284.67384615447,forest_loss
Azerbaijan,2036,95425.45538461581,forest_loss
Azerbaijan,2037,97566.23692307808,forest_loss
Azerbaijan,2038,99707.01846153941,forest_loss
Azerbaijan,2039,101847.80000000075,forest_loss
Azerbaijan,2040,103988.58153846208,forest_loss
Azerbaijan,2041,106129.36307692342,forest_loss
Azerbaijan,2042,108270.14461538568,forest_loss
Azerbaijan,2043,110410.92615384702,forest_loss
Azerbaijan,2044,112551.70769230835,forest_loss
Azerbaijan,2045,114692.48923076969,forest_loss
Bahamas,2026,249558.18000000343,forest_loss
Bahamas,2027,260380.33846154064,forest_loss
Bahamas,2028,271202.49692307785,forest_loss
Bahamas,2029,282024.6553846188,forest_loss
Bahamas,2030,292846.813846156,forest_loss
Bahamas,2031,303668.9723076932,forest_loss
Bahamas,2032,314491.13076923415,forest_loss
Bahamas,2033,325313.28923077136,forest_loss
Bahamas,2034,336135.4476923086,forest_loss
Bahamas,2035,346957.6061538495,forest_loss
Bahamas,2036,357779.7646153867,forest_loss
Bahamas,2037,368601.92307692394,forest_loss
Bahamas,2038,379424.0815384649,forest_loss
Bahamas,2039,390246.2400000021,forest_loss
Bahamas,2040,401068.3984615393,forest_loss
Bahamas,2041,411890.55692308024,forest_loss
Bahamas,2042,422712.71538461745,forest_loss
Bahamas,2043,433534.87384615466,forest_loss
Bahamas,2044,444357.0323076956,forest_loss
Bahamas,2045,455179.1907692328,forest_loss
Bahrain,2026,0.45000000000000284,forest_loss
Bahrain,2027,0.47538461538461263,forest_loss
Bahrain,2028,0.5007692307692295,forest_loss
Bahrain,2029,0.5261538461538464,forest_loss
Bahrain,2030,0.5515384615384633,forest_loss
Bahrain,2031,0.5769230769230802,forest_loss
Bahrain,2032,0.60230769230769,forest_loss
Bahrain,2033,0.6276923076923069,forest_loss
Bahrain,2034,0.6530769230769238,forest_loss
Bahrain,2035,0.6784615384615407,forest_loss
Bahrain,2036,0.7038461538461576,forest_loss
Bahrain,2037,0.7292307692307674,forest_loss
Bahrain,2038,0.7546153846153842,forest_loss
Bahrain,2039,0.7800000000000011,forest_loss
Bahrain,2040,0.805384615384618,forest_loss
Bahrain,2041,0.8307692307692278,forest_loss
Bahrain,2042,0.8561538461538447,forest_loss
Bahrain,2043,0.8815384615384616,forest_loss
Bahrain,2044,0.9069230769230785,forest_loss
Bahrain,2045,0.9323076923076954,forest_loss
Bangladesh,2026,1965747.6200000048,forest_loss
Bangladesh,2027,2056110.027692318,forest_loss
Bangladesh,2028,2146472.435384631,forest_loss
Bangladesh,2029,2236834.8430769444,forest_loss
Bangladesh,2030,2327197.2507692277,forest_loss
Bangladesh,2031,2417559.658461541,forest_loss
Bangladesh,2032,2507922.066153854,forest_loss
Bangladesh,2033,2598284.4738461673,forest_loss
Bangladesh,2034,2688646.8815384805,forest_loss
Bangladesh,2035,2779009.289230764,forest_loss
Bangladesh,2036,2869371.696923077,forest_loss
Bangladesh,2037,2959734.1046153903,forest_loss
Bangladesh,2038,3050096.5123077035,forest_loss
Bangladesh,2039,3140458.9200000167,forest_loss
Bangladesh,2040,3230821.3276923,forest_loss
Bangladesh,2041,3321183.7353846133,forest_loss
Bangladesh,2042,3411546.1430769265,forest_loss
Bangladesh,2043,3501908.5507692397,forest_loss
Bangladesh,2044,3592270.958461553,forest_loss
Bangladesh,2045,3682633.366153866,forest_loss
Barbados,2026,3957.329999999958,forest_loss
Barbados,2027,4123.539999999979,forest_loss
Barbados,2028,4289.749999999942,forest_loss
Barbados,2029,4455.959999999963,forest_loss
Barbados,2030,4622.1699999999255,forest_loss
Barbados,2031,4788.379999999946,forest_loss
Barbados,2032,4954.589999999967,forest_loss
Barbados,2033,5120.79999999993,forest_loss
Barbados,2034,5287.009999999951,forest_loss
Barbados,2035,5453.219999999972,forest_loss
Barbados,2036,5619.429999999935,forest_loss
Barbados,2037,5785.639999999956,forest_loss
Barbados,2038,5951.849999999977,forest_loss
Barbados,2039,6118.0599999999395,forest_loss
Barbados,2040,6284.26999999996,forest_loss
Barbados,2041,6450.479999999981,forest_loss
Barbados,2042,6616.689999999944,forest_loss
Barbados,2043,6782.899999999965,forest_loss
Barbados,2044,6949.109999999928,forest_loss
Barbados,2045,7115.319999999949,forest_loss
Belarus,2026,9020029.200000048,forest_loss
Belarus,2027,9400660.593846202,forest_loss
Belarus,2028,9781291.987692356,forest_loss
Belarus,2029,10161923.38153851,forest_loss
Belarus,2030,10542554.775384665,forest_loss
Belarus,2031,10923186.169230819,forest_loss
Belarus,2032,11303817.563076973,forest_loss
Belarus,2033,11684448.956923127,forest_loss
